lab_name,location,lab_code,validity_date,source_url,source_status
SIIR,Delhi,8102006,31 Dec 2026,https://lims.bis.gov.in/home/labs/,Official BIS LIMS
Testtex India Laboratories Private Limited,Noida Uttar Pradesh,8138306,31 Dec 2026,https://lims.bis.gov.in/home/labs/,Official BIS LIMS
Intertek India Private Limited (Food Services),Hyderabad Telangana,6126316,18 Mar 2028,https://lims.bis.gov.in/home/labs/,Official BIS LIMS
Kailtech Test and Research Centre Pvt. Ltd.,Indore Madhya Pradesh,8125636,18 Dec 2027,https://lims.bis.gov.in/home/labs/,Official BIS LIMS
National Test House (NTH),Ghaziabad Uttar Pradesh,8101001,31 Dec 2027,https://lims.bis.gov.in/home/labs/,Official BIS LIMS
Central Power Research Institute (CPRI),Bengaluru Karnataka,5102002,31 Dec 2028,https://lims.bis.gov.in/home/labs/,Official BIS LIMS
TUV Rheinland India Private Limited,Bengaluru Karnataka,5123401,31 Dec 2027,https://lims.bis.gov.in/home/labs/,Official BIS LIMS
